step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
330,23711872,21120,0.008765380524622678,0.90625,0.90625,,,,,,,,,
331,23791296,21184,0.008408736156090392,0.84375,0.84375,,,,,,,,,
332,23870720,21248,0.007492973366150966,0.8125,0.8125,,,,,,,,,
333,23922496,21312,0.01086366652107677,0.78125,0.78125,,,,,,,,,
334,23990656,21376,0.00886525143440715,0.859375,0.859375,,,,,,,,,
335,24077760,21440,0.007566916666425906,0.890625,0.890625,,,,,,,,,
336,24135680,21504,0.010310566896156058,0.828125,0.828125,,,,,,,,,
337,24184896,21568,0.01001889863098359,0.84375,0.84375,0.005117931534378824,0.984375,0.984375,,,,,,
338,24261248,21632,0.00857267568554257,0.84375,0.84375,,,,,,,,,
339,24332992,21696,0.009199065711421305,0.859375,0.859375,,,,,,,,,
340,24409856,21760,0.008820067549370285,0.8125,0.8125,,,,,,,,,
341,24469824,21824,0.009644914509225338,0.84375,0.84375,,,,,,,,,
342,24548224,21888,0.008226742037391228,0.859375,0.859375,,,,,,,,,
343,24629184,21952,0.007299982132199301,0.859375,0.859375,,,,,,,,,
344,24715264,22016,0.007532518928912172,0.859375,0.859375,,,,,,,,,
